,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price_£,subject
13,Coaching Skills for Learner-Centred Conversations,Imperial College London,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=14&results_level=second-level-results&term=&objectID=course-4145aa87-e1bf-4f84-b6c9-63ef0771e829&campaign=Coaching+Skills+for+Learner-Centred+Conversations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 24,24058,Self-paced,46,Education & Teacher Training
14,Creating Innovative Business Models,"University System of Maryland The University of Maryland, College Park",https://www.edx.org/learn/business-model/university-system-of-maryland-creating-innovative-business-models?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=15&results_level=second-level-results&term=&objectID=course-eacd1533-14d5-4251-903c-bee5708a5bf6&campaign=Creating+Innovative+Business+Models&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,28157,Self-paced,146,Business & Management
15,Greatest Unsolved Mysteries of the Universe,Australian National University,https://www.edx.org/learn/astrophysics/australian-national-university-greatest-unsolved-mysteries-of-the-universe?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=16&results_level=second-level-results&term=&objectID=course-b91a36c0-1e7a-4b64-908a-3886d0b13cb7&campaign=Greatest+Unsolved+Mysteries+of+the+Universe&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,2–4 hours per week,Starts Jul 24,113958,Self-paced,46,Physics
16,Interdisciplinary Teaching with Museum Objects,The Smithsonian Institution,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-interdisciplinary-teaching-with-museum-objects?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=17&results_level=second-level-results&term=&objectID=course-af184b03-15a3-4977-9cee-87f051dc810d&campaign=Interdisciplinary+Teaching+with+Museum+Objects&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,1–2 hours per week,Starts Jul 24,0,Self-paced,53,Education & Teacher Training
17,Intercultural Communication at Work – Land the job and do it well,The National University of Singapore,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=18&results_level=second-level-results&term=&objectID=course-ef87f574-3c2d-406b-9c76-b5865e7220a0&campaign=Intercultural+Communication+at+Work+%E2%80%93+Land+the+job+and+do+it+well&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,13544,Self-paced,46,Communication
18,Data Science and Agile Systems for Product Management,"The University of Maryland, College Park University System of Maryland",https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=19&results_level=second-level-results&term=&objectID=course-eb57cb64-2f14-4a7e-8626-914cde2b06d0&campaign=Data+Science+and+Agile+Systems+for+Product+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,15845,Self-paced,193,Business & Management
21,Exercising Leadership: Foundational Principles,Harvard University,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=22&results_level=second-level-results&term=&objectID=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=Exercising+Leadership%3A+Foundational+Principles&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,611592,Self-paced,162,Business & Management
22,Storytelling in the Workplace,Rochester Institute of Technology,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=23&results_level=second-level-results&term=&objectID=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=Storytelling+in+the+Workplace&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–6 hours per week,Starts Jul 24,33806,Self-paced,154,Communication
23,CS50's Introduction to Artificial Intelligence with Python,Harvard University,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python?index=product&queryID=e88dabd862d404549039edf1c9cf099e&position=24&results_level=second-level-results&term=&objectID=course-3a31db71-de8f-45f1-ae65-11981ed9d680&campaign=CS50%27s+Introduction+to+Artificial+Intelligence+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,10–30 hours per week,Starts Jul 24,1106461,Self-paced,0,Computer Science
24,Google Cloud Computing Foundations: Cloud Computing Fundamentals,Google Cloud,https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=1&results_level=second-level-results&term=&objectID=course-fcd082c5-7eb6-4b35-909f-20b5ac723d06&campaign=Google+Cloud+Computing+Foundations%3A+Cloud+Computing+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,5–6 hours per week,Starts Jul 24,68853,Self-paced,115,Computer Science
25,CS50's Web Programming with Python and JavaScript,Harvard University,https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=2&results_level=second-level-results&term=&objectID=course-8f8e5124-1dab-47e6-8fa6-3fbdc0738f0a&campaign=CS50%27s+Web+Programming+with+Python+and+JavaScript&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,6–9 hours per week,Starts Jul 24,1467421,Self-paced,0,Computer Science
26,Introduction to Data Science with Python,Harvard University,https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=3&results_level=second-level-results&term=&objectID=course-c2004e8e-3882-4927-a883-1c5f39a28865&campaign=Introduction+to+Data+Science+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–4 hours per week,Starts Jul 24,153057,Self-paced,231,Data Analysis & Statistics
27,CS50's Introduction to Cybersecurity,Harvard University,https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=4&results_level=second-level-results&term=&objectID=course-88391405-e329-495d-bf72-5de13bbf1846&campaign=CS50%27s+Introduction+to+Cybersecurity&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–6 hours per week,Starts Jul 24,183234,Self-paced,0,Computer Science
28,Python Basics for Data Science,IBM,https://www.edx.org/learn/python/ibm-python-basics-for-data-science?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=5&results_level=second-level-results&term=&objectID=course-381a0046-5d78-4790-8776-74620d59f48e&campaign=Python+Basics+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–10 hours per week,Starts Jul 24,68993,Self-paced,77,Data Analysis & Statistics
29,Building Personal Resilience: Managing Anxiety and Mental Health,Harvard University,https://www.edx.org/learn/mental-health/harvard-university-building-personal-resilience-managing-anxiety-and-mental-health?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=6&results_level=second-level-results&term=&objectID=course-128aab52-0ffe-4dc4-8314-8a3f02d38fcb&campaign=Building+Personal+Resilience%3A+Managing+Anxiety+and+Mental+Health&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,1–2 hours per week,Starts Jul 24,91759,Self-paced,169,Social Sciences
30,Data Science: Machine Learning,Harvard University,https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=7&results_level=second-level-results&term=&objectID=course-7e5958e8-d709-41ab-8f8c-4339f7a733c9&campaign=Data+Science%3A+Machine+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–4 hours per week,Starts Jul 24,581142,Self-paced,115,Data Analysis & Statistics
31,Rhetoric: The Art of Persuasive Writing and Public Speaking,Harvard University,https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=8&results_level=second-level-results&term=&objectID=course-941c1967-d0ee-49bc-b3c5-e6ccf4681f2a&campaign=Rhetoric%3A+The+Art+of+Persuasive+Writing+and+Public+Speaking&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–3 hours per week,Starts Jul 24,754413,Self-paced,162,Humanities
32,Human Anatomy: Musculoskeletal Cases,Harvard University,https://www.edx.org/learn/human-anatomy/harvard-university-human-anatomy-musculoskeletal-cases?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=9&results_level=second-level-results&term=&objectID=course-20574fb6-99b9-44cf-afa5-473d8337c7a8&campaign=Human+Anatomy%3A+Musculoskeletal+Cases&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–6 hours per week,Starts Jul 24,281090,Self-paced,162,Medicine
33,IELTS Academic Test Preparation,The University of Queensland,https://www.edx.org/learn/test-prep/the-university-of-queensland-ielts-academic-test-preparation?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=10&results_level=second-level-results&term=&objectID=course-d61d7a1f-3333-4169-a786-92e2bf690c6f&campaign=IELTS+Academic+Test+Preparation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,5–10 hours per week,Starts Jul 24,1638682,Self-paced,169,Communication
34,Computer Science 101,Stanford University,https://www.edx.org/learn/computer-science/stanford-university-computer-science-101?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=11&results_level=second-level-results&term=&objectID=course-05f61d04-5acc-452b-9c34-6d447af6437f&campaign=Computer+Science+101&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 24,224822,Self-paced,193,Computer Science
35,Data Science: R Basics,Harvard University,https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=12&results_level=second-level-results&term=&objectID=course-91f52ef3-fa3f-4934-9d19-8d5a32635cd4&campaign=Data+Science%3A+R+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 24,884290,Self-paced,169,Data Analysis & Statistics
36,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Harvard University,https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=13&results_level=second-level-results&term=&objectID=course-f8042b37-6a21-4afa-b9e2-6f51dcd694db&campaign=Fundamentals+of+Neuroscience%2C+Part+1%3A+The+Electrical+Properties+of+the+Neuron&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 24,604700,Self-paced,193,Biology & Life Sciences
37,Business Writing Techniques,Doane University,https://www.edx.org/learn/business-communications/doane-university-business-writing-techniques?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=14&results_level=second-level-results&term=&objectID=course-9d815fc9-480d-417d-95c6-3d7a5193c77a&campaign=Business+Writing+Techniques&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–8 hours per week,Starts Jul 24,41744,Self-paced,115,Communication
38,CS50's Introduction to Databases with SQL,Harvard University,https://www.edx.org/learn/sql/harvard-university-cs50-s-introduction-to-databases-with-sql?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=15&results_level=second-level-results&term=&objectID=course-3e45c431-10df-423e-9f03-fb98b713cd4a&campaign=CS50%27s+Introduction+to+Databases+with+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,6–12 hours per week,Starts Jul 24,61098,Self-paced,0,Computer Science
39,AI for Everyone: Master the Basics,IBM,https://www.edx.org/learn/artificial-intelligence/ibm-ai-for-everyone-master-the-basics?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=16&results_level=second-level-results&term=&objectID=course-f11c9289-596e-4c46-a9cb-318052f259ae&campaign=AI+for+Everyone%3A+Master+the+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 24,180470,Self-paced,77,Computer Science
40,Machine Learning with Python: A Practical Introduction,IBM,https://www.edx.org/learn/machine-learning/ibm-machine-learning-with-python-a-practical-introduction?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=17&results_level=second-level-results&term=&objectID=course-34ea79ed-b0c4-4a12-aeb6-64a5b507607a&campaign=Machine+Learning+with+Python%3A+A+Practical+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–6 hours per week,Starts Jul 24,176432,Self-paced,77,Data Analysis & Statistics
41,Google AI for Anyone,Google,https://www.edx.org/learn/artificial-intelligence/google-google-ai-for-anyone?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=18&results_level=second-level-results&term=&objectID=course-93a42838-e9c4-4c72-8943-af75e3c5fb89&campaign=Google+AI+for+Anyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,78314,Self-paced,231,Computer Science
42,Inglés para todos: nivel básico,Universidad del Rosario,https://www.edx.org/learn/language/universidad-del-rosario-ingles-para-todos-nivel-basico?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=19&results_level=second-level-results&term=&objectID=course-3fa209ce-db34-44a6-93a5-dcb74507d38e&campaign=Ingl%C3%A9s+para+todos%3A+nivel+b%C3%A1sico&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,216536,Self-paced,38,Language
43,"Introduction to Web Development with HTML5, CSS3, and JavaScript",IBM,https://www.edx.org/learn/web-development/ibm-introduction-to-web-development-with-html5-css3-and-javascript?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=20&results_level=second-level-results&term=&objectID=course-ae17a348-78ed-496e-a0b7-a1c7098a3ad0&campaign=Introduction+to+Web+Development+with+HTML5%2C+CSS3%2C+and+JavaScript&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–4 hours per week,Starts Jul 24,0,Self-paced,38,Computer Science
44,CS50's Introduction to Programming with Scratch,Harvard University,https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=21&results_level=second-level-results&term=&objectID=course-8290161d-6419-41c6-87a8-b0fa61b8bb86&campaign=CS50%27s+Introduction+to+Programming+with+Scratch&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–6 hours per week,Starts Jul 24,188964,Self-paced,0,Computer Science
45,Managing Happiness,Harvard University,https://www.edx.org/learn/happiness/harvard-university-managing-happiness?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=22&results_level=second-level-results&term=&objectID=course-56feae4a-7386-4499-8f1d-cf4b17c6cc87&campaign=Managing+Happiness&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,146456,Self-paced,169,Social Sciences
46,Introduction to Kubernetes,The Linux Foundation,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-kubernetes?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=23&results_level=second-level-results&term=&objectID=course-8566d539-69cb-43a5-94c2-000502df1a92&campaign=Introduction+to+Kubernetes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,2–3 hours per week,Starts Jul 24,365221,Self-paced,146,Computer Science
47,Italian Language and Culture: Beginner (2023-2024),Wellesley College,https://www.edx.org/learn/italian/wellesley-college-italian-language-and-culture-beginner-2023-2024?index=product&queryID=3d77619effe4a10e0cd02600c9fb728b&position=24&results_level=second-level-results&term=&objectID=course-1e170500-f525-46c1-b8b9-c893cf6910d3&campaign=Italian+Language+and+Culture%3A+Beginner+%282023-2024%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,2–5 hours per week,Starts Jul 24,371730,Self-paced,46,Language
48,CS50's Computer Science for Business Professionals,Harvard University,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-business-professionals?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=1&results_level=second-level-results&term=&objectID=course-0c675c29-54ee-42ff-ac95-01f53450bc8b&campaign=CS50%27s+Computer+Science+for+Business+Professionals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–6 hours per week,Starts Jul 24,213062,Self-paced,0,Computer Science
49,TOEFL iBT Test Preparation: The Insider’s Guide,Educational Testing Service,https://www.edx.org/learn/test-prep/educational-testing-service-toefl-r-test-preparation-the-insiders-guide?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=2&results_level=second-level-results&term=&objectID=course-ee4f4f12-e6ec-45ac-94df-b90b4b022903&campaign=TOEFL+iBT+Test+Preparation%3A+The+Insider%E2%80%99s+Guide&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 24,1533731,Self-paced,46,Communication
50,Contract Law: From Trust to Promise to Contract,Harvard University,https://www.edx.org/learn/business-law/harvard-university-contract-law-from-trust-to-promise-to-contract?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=3&results_level=second-level-results&term=&objectID=course-5f1d3726-e78b-41f9-8e71-b904fddd102e&campaign=Contract+Law%3A+From+Trust+to+Promise+to+Contract&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–6 hours per week,Starts Jul 24,590286,Self-paced,231,Business & Management
51,Entrepreneurship in Emerging Economies,Harvard University,https://www.edx.org/learn/entrepreneurship/harvard-university-entrepreneurship-in-emerging-economies?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=4&results_level=second-level-results&term=&objectID=course-387c5b5b-ef7f-43b9-b9b5-4163f3c74a49&campaign=Entrepreneurship+in+Emerging+Economies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 24,831995,Self-paced,193,Business & Management
52,Supply Chain Analytics,Massachusetts Institute of Technology,https://www.edx.org/learn/supply-chain-design/massachusetts-institute-of-technology-supply-chain-analytics?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=5&results_level=second-level-results&term=&objectID=course-09532745-c837-467b-9078-093b8e1265a8&campaign=Supply+Chain+Analytics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,15 weeks,8–12 hours per week,Started May 8,303921,Instructor-paced,154,Business & Management
53,Data Analytics Basics for Everyone,IBM,https://www.edx.org/learn/data-analysis/ibm-data-analytics-basics-for-everyone?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=6&results_level=second-level-results&term=&objectID=course-5c90d49e-e57d-4789-a729-334980458fe0&campaign=Data+Analytics+Basics+for+Everyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 24,167300,Self-paced,77,Data Analysis & Statistics
54,Foundations of Modern Finance I,Massachusetts Institute of Technology,https://www.edx.org/learn/finance/massachusetts-institute-of-technology-foundations-of-modern-finance-i?index=product&queryID=56822bf2b9a6cd1f3cfae26f44c4ce05&position=7&results_level=second-level-results&term=&objectID=course-8a1c5e35-6538-428c-a707-27d94c907187&campaign=Foundations+of+Modern+Finance+I&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,10–14 hours per week,Starts Jul 24,101907,Self-paced,425,Economics & Finance
