,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
12,"Introduction to Web
Accessibility",The World Wide Web Conso…,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=13&results_level=second-level-results&term=&objectID=course-8ac6f7ff-0ff9-4894-a5f3-cc34fc5768fa&campaign=Introduction+to+Web+Accessibility&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–5 hours per week,Starts Jul 27,73162,Self-paced,£77,Computer Science
13,"Coaching Skills for
Learner-Centred
Conversations",Imperial College London,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=14&results_level=second-level-results&term=&objectID=course-4145aa87-e1bf-4f84-b6c9-63ef0771e829&campaign=Coaching+Skills+for+Learner-Centred+Conversations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,24071,Self-paced,£46,Education & Teacher Training
14,"Creating Innovative
Business Models","University System of
Maryland…",https://www.edx.org/learn/business-model/university-system-of-maryland-creating-innovative-business-models?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=15&results_level=second-level-results&term=&objectID=course-eacd1533-14d5-4251-903c-bee5708a5bf6&campaign=Creating+Innovative+Business+Models&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,28182,Self-paced,£147,Business & Management
15,"Greatest Unsolved
Mysteries of the
Universe",Australian National University,https://www.edx.org/learn/astrophysics/australian-national-university-greatest-unsolved-mysteries-of-the-universe?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=16&results_level=second-level-results&term=&objectID=course-b91a36c0-1e7a-4b64-908a-3886d0b13cb7&campaign=Greatest+Unsolved+Mysteries+of+the+Universe&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,2–4 hours per week,Starts Jul 27,113972,Self-paced,£46,Physics
16,"Interdisciplinary
Teaching with
Museum Objects",The Smithsonian Institution,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-interdisciplinary-teaching-with-museum-objects?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=17&results_level=second-level-results&term=&objectID=course-af184b03-15a3-4977-9cee-87f051dc810d&campaign=Interdisciplinary+Teaching+with+Museum+Objects&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,1–2 hours per week,Starts Jul 27,0,Self-paced,£54,Education & Teacher Training
17,"Intercultural
Communication at
Work – Land the job…",The National University of S…,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=18&results_level=second-level-results&term=&objectID=course-ef87f574-3c2d-406b-9c76-b5865e7220a0&campaign=Intercultural+Communication+at+Work+%E2%80%93+Land+the+job+and+do+it+well&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,13553,Self-paced,£46,Communication
18,"Data Science and
Agile Systems for
Product Management","The University of Maryland,
College Park…",https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=19&results_level=second-level-results&term=&objectID=course-eb57cb64-2f14-4a7e-8626-914cde2b06d0&campaign=Data+Science+and+Agile+Systems+for+Product+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,15874,Self-paced,£193,Business & Management
19,"Climate Change:
Financial Risks and
Opportunities","Imperial College Business
School…",https://www.edx.org/learn/climate-change/imperial-college-business-school-climate-change-financial-risks-and-opportunities?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=20&results_level=second-level-results&term=&objectID=course-51cf8a23-cffe-4b00-a0e7-badc59927767&campaign=Climate+Change%3A+Financial+Risks+and+Opportunities&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–10 hours per week,NA,0,Self-paced,£61,Economics & Finance
20,"Strategies for Online
Teaching and
Learning",University of British Columbia,https://www.edx.org/learn/education/university-of-british-columbia-strategies-for-online-teaching-and-learning?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=21&results_level=second-level-results&term=&objectID=course-228e656f-0a00-494f-9233-734cb18761b4&campaign=Strategies+for+Online+Teaching+and+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA,NA,NA,0,NA,£0,NA
21,"Exercising
Leadership:
Foundational Princip…",Harvard University,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=22&results_level=second-level-results&term=&objectID=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=Exercising+Leadership%3A+Foundational+Principles&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,612124,Self-paced,£162,Business & Management
22,"Storytelling in the
Workplace",Rochester Institute of Tech…,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=23&results_level=second-level-results&term=&objectID=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=Storytelling+in+the+Workplace&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–6 hours per week,Starts Jul 27,33824,Self-paced,£155,Communication
