,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
245,"Science & Cooking:
From Haute Cuisine to
Soft Matter Science…",Harvard University,https://www.edx.org/learn/food-science/harvard-university-science-cooking-from-haute-cuisine-to-soft-matter-science-chemistry?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=6&results_level=second-level-results&term=&objectID=course-d37884e7-363e-471b-ad1b-1250b1fdae23&campaign=Science+%26+Cooking%3A+From+Haute+Cuisine+to+Soft+Matter+Science+%28chemistry%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,16 weeks,2–3 hours per week,Starts Jul 27,196576,Self-paced,£193,Chemistry
246,"Italian Language and
Culture: Intermediate
(2023-2024)",Wellesley College,https://www.edx.org/learn/italian/wellesley-college-italian-language-and-culture-intermediate-2023-2024?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=7&results_level=second-level-results&term=&objectID=course-b6bb8a1e-cece-4c43-a3dc-3b00e6843f25&campaign=Italian+Language+and+Culture%3A+Intermediate+%282023-2024%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,3–5 hours per week,Starts Jul 27,70615,Self-paced,£46,Language
247,"Basic Network and
Database Security",IBM,https://www.edx.org/learn/network-security/ibm-basic-network-and-database-security?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=8&results_level=second-level-results&term=&objectID=course-261191da-df4a-480e-b51e-574c1311df9a&campaign=Basic+Network+and+Database+Security&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–4 hours per week,Starts Jul 27,13908,Self-paced,£116,Computer Science
248,"Python for Data
Science","The University of California,…",https://www.edx.org/learn/python/the-university-of-california-san-diego-python-for-data-science?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=9&results_level=second-level-results&term=&objectID=course-b3c02aea-cbf6-4fc4-a730-0433860e2a35&campaign=Python+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,8–10 hours per week,Starts Jul 27,327359,Self-paced,£272,Data Analysis & Statistics
249,"Humanitarian
Response to Conflict
and Disaster",Harvard University,https://www.edx.org/learn/humanitarianism/harvard-university-humanitarian-response-to-conflict-and-disaster?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=10&results_level=second-level-results&term=&objectID=course-4178fda1-e8c7-476c-81e8-8a6b453a6a76&campaign=Humanitarian+Response+to+Conflict+and+Disaster&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–4 hours per week,Starts Jul 27,154549,Self-paced,£116,Health & Safety
250,"Fundamentos de
anatomía y técnica
quirúrgica básica",Universidad del Rosario,https://www.edx.org/learn/human-anatomy/universidad-del-rosario-fundamentos-de-anatomia-y-tecnica-quirurgica-basica?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=11&results_level=second-level-results&term=&objectID=course-760d56a2-69e4-45f7-9f8d-5de319a13714&campaign=Fundamentos+de+anatom%C3%ADa+y+t%C3%A9cnica+quir%C3%BArgica+b%C3%A1sica&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,47278,Self-paced,£15,Medicine
251,"Fundamentals of
Neuroscience, Part 2:
Neurons and Networ…",Harvard University,https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-2-neurons-and-networks?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=12&results_level=second-level-results&term=&objectID=course-f3ec0b52-25b8-4f44-a960-e553167fd200&campaign=Fundamentals+of+Neuroscience%2C+Part+2%3A+Neurons+and+Networks&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 27,116282,Self-paced,£193,Biology & Life Sciences
252,"Shakespeare's Life
and Work",Harvard University,https://www.edx.org/learn/shakespeare/harvard-university-shakespeare-s-life-and-work?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=13&results_level=second-level-results&term=&objectID=course-36eb1cb5-abab-4f1c-b9f7-1c386f5b11e7&campaign=Shakespeare%27s+Life+and+Work&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–7 hours per week,Starts Jul 27,86868,Self-paced,£116,Humanities
253,"Data Science:
Wrangling",Harvard University,https://www.edx.org/learn/data-science/harvard-university-data-science-wrangling?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=14&results_level=second-level-results&term=&objectID=course-f910ba78-cf5d-4da6-9168-d3b716a9d0e7&campaign=Data+Science%3A+Wrangling&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 27,96633,Self-paced,£116,Data Analysis & Statistics
254,Introduction to SQL,Davidson College,https://www.edx.org/learn/sql/davidson-college-introduction-to-sql?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=15&results_level=second-level-results&term=&objectID=course-aa0b90a5-7681-467b-91aa-707242534d87&campaign=Introduction+to+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 27,23363,Self-paced,£193,Data Analysis & Statistics
255,"Trading -
Fundamentals of
Technical Analysis",New York Institute of Finance,https://www.edx.org/learn/trading/new-york-institute-of-finance-trading-fundamentals-of-technical-analysis?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=16&results_level=second-level-results&term=&objectID=course-c34bc1e3-858b-4b4f-84c6-0a1d5a51d48d&campaign=Trading+-+Fundamentals+of+Technical+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,67246,Self-paced,£155,Economics & Finance
256,"Molecular Biology -
Part 1: DNA
Replication and Repair",Massachusetts Institute of…,https://www.edx.org/learn/molecular-biology/massachusetts-institute-of-technology-molecular-biology-part-1-dna-replication-and-repair?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=17&results_level=second-level-results&term=&objectID=course-a4d6f55d-1a06-4736-a297-88e964f35e98&campaign=Molecular+Biology+-+Part+1%3A+DNA+Replication+and+Repair&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,4–6 hours per week,Started Jul 16,73903,Instructor-paced,£77,Biology & Life Sciences
257,"Mindfulness and
Resilience to Stress at
Work","University of California, Ber…",https://www.edx.org/learn/mindfulness/university-of-california-berkeley-mindfulness-and-resilience-to-stress-at-work?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=18&results_level=second-level-results&term=&objectID=course-9961523e-859c-4977-91ca-4f9c9142acfc&campaign=Mindfulness+and+Resilience+to+Stress+at+Work&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,56499,Self-paced,£155,Business & Management
258,"Empathy and
Emotional Intelligence
at Work","University of California, Ber…",https://www.edx.org/learn/business-administration/university-of-california-berkeley-empathy-and-emotional-intelligence-at-work?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=19&results_level=second-level-results&term=&objectID=course-f42eda1b-aeb0-44a7-a764-07613af2a6a0&campaign=Empathy+and+Emotional+Intelligence+at+Work&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,87805,Self-paced,£155,Business & Management
259,"Introduction to
Illustrator",LCI Education,https://www.edx.org/learn/design/lci-education-introduction-to-illustrator?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=20&results_level=second-level-results&term=&objectID=course-e4ef6680-1128-4c26-95a0-56826921a20b&campaign=Introduction+to+Illustrator&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,0,Self-paced,£77,Design
260,"Biomedical
Equipment: Repairing
and Maintaining Bio…",Delft University of Technolo…,https://www.edx.org/learn/biomedical-engineering/delft-university-of-technology-biomedical-equipment-repairing-and-maintaining-biomedical-devices?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=21&results_level=second-level-results&term=&objectID=course-233b2762-7df1-4b48-9683-65eb145c2c2f&campaign=Biomedical+Equipment%3A+Repairing+and+Maintaining+Biomedical+Devices&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,4–6 hours per week,Starts Jul 27,13426,Self-paced,£39,Engineering
261,"Math for Machine
Learning with Python",edX,https://www.edx.org/learn/math/edx-math-for-machine-learning-with-python?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=22&results_level=second-level-results&term=&objectID=course-9836c9dd-0582-4236-afd0-b3c38ecffded&campaign=Math+for+Machine+Learning+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,6–8 hours per week,Starts Jul 27,0,Self-paced,£77,Math
262,"Agile and Scrum
Fundamentals",IBM,https://www.edx.org/learn/agile/ibm-agile-and-scrum-fundamentals?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=23&results_level=second-level-results&term=&objectID=course-6978740e-3978-42d2-bfab-2408f298b4c7&campaign=Agile+and+Scrum+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,3–4 hours per week,Starts Jul 27,16419,Self-paced,£77,Computer Science
263,"Liderazgo femenino:
potencia tus
habilidades e impuls…",Inter-American Developmen…,https://www.edx.org/learn/leadership/inter-american-development-bank-liderazgo-femenino-potencia-tus-habilidades-e-impulsa-el-cambio?index=product&queryID=9cdecf654b060f6dcce79fea4dfc910d&position=24&results_level=second-level-results&term=&objectID=course-775d729b-f641-4247-990c-5e421b4760cd&campaign=Liderazgo+femenino%3A+potencia+tus+habilidades+e+impulsa+el+cambio&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–2 hours per week,Starts Jul 27,15923,Self-paced,£23,Communication
264,"JavaScript
Introduction",The World Wide Web Conso…,https://www.edx.org/learn/javascript/the-world-wide-web-consortium-w3c-javascript-introduction?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=1&results_level=second-level-results&term=&objectID=course-c50943b5-3375-4d50-9f91-911930551603&campaign=JavaScript+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,6–8 hours per week,Starts Jul 27,217543,Self-paced,£193,Computer Science
265,"American
Government:
Constitutional Foun…",Harvard University,https://www.edx.org/learn/government/harvard-university-american-government-constitutional-foundations?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=2&results_level=second-level-results&term=&objectID=course-ac54aecf-26c9-4e7e-a3be-82a9bec871b3&campaign=American+Government%3A+Constitutional+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 27,64929,Self-paced,£116,Social Sciences
266,"Introduction to
Pharmacology",Doane University,https://www.edx.org/learn/medicine/doane-university-introduction-to-pharmacology?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=3&results_level=second-level-results&term=&objectID=course-2a1d79b3-2c14-4a89-9e19-6e020fdd78af&campaign=Introduction+to+Pharmacology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,10–12 hours per week,Starts Jul 27,28166,Self-paced,£92,Medicine
267,"Apache Spark for Data
Engineering and
Machine Learning",IBM,https://www.edx.org/learn/apache-spark/ibm-apache-spark-for-data-engineering-and-machine-learning?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=4&results_level=second-level-results&term=&objectID=course-6b2559aa-c997-46df-9041-05aca4affb81&campaign=Apache+Spark+for+Data+Engineering+and+Machine+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–3 hours per week,Starts Jul 27,7695,Self-paced,£38,Computer Science
268,"Nutrition and Health:
Food Safety",Wageningen University & Re…,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-food-safety?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=5&results_level=second-level-results&term=&objectID=course-96b60bc7-4919-457c-b3a3-3605dab4f811&campaign=Nutrition+and+Health%3A+Food+Safety&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,6–8 hours per week,Starts Jul 27,67965,Self-paced,£162,Food & Nutrition
269,"Pre-University
Chemistry",Delft University of Technolo…,https://www.edx.org/learn/chemistry/delft-university-of-technology-pre-university-chemistry?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=6&results_level=second-level-results&term=&objectID=course-058a2b68-3e16-4d68-819f-635540d9c5ba&campaign=Pre-University+Chemistry&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 27,5373,Self-paced,£39,Chemistry
270,"Introducción a
ChatGPT.¡Impulsa tu
productividad al máx…",Universitat Politècnica de V…,https://www.edx.org/learn/chatgpt/universitat-politecnica-de-valencia-introduccion-a-chatgpt-impulsa-tu-productividad-al-maximo-usando-inteligencia-artificial?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=7&results_level=second-level-results&term=&objectID=course-9a773e03-3144-4637-83ca-cf0c9fbcb69f&campaign=Introducci%C3%B3n+a+ChatGPT.%C2%A1Impulsa+tu+productividad+al+m%C3%A1ximo+usando+inteligencia+artificial%21&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£15,Computer Science
271,"People Management
With Impact",Indian Institute of Managem…,https://www.edx.org/learn/management/indian-institute-of-management-bangalore-people-management?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=8&results_level=second-level-results&term=&objectID=course-e3e1545c-565d-4fa2-bfd0-92abdd9a8145&campaign=People+Management+With+Impact&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Started May 1,160121,Instructor-paced,£117,Business & Management
272,"Data Science:
Capstone",Harvard University,https://www.edx.org/learn/data-science/harvard-university-data-science-capstone?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=9&results_level=second-level-results&term=&objectID=course-5023c1fa-ede3-42cf-a340-016f6c4e907f&campaign=Data+Science%3A+Capstone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,15–20 hours per week,Starts Jul 27,94238,Self-paced,£116,Data Analysis & Statistics
273,"Linear Algebra -
Foundations to
Frontiers",The University of Texas at A…,https://www.edx.org/learn/linear-algebra/the-university-of-texas-at-austin-linear-algebra-foundations-to-frontiers?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=10&results_level=second-level-results&term=&objectID=course-16e7e19f-9036-4916-a1c8-2b799b502212&campaign=Linear+Algebra+-+Foundations+to+Frontiers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,15 weeks,6–10 hours per week,Starts Jul 27,110813,Self-paced,£77,Computer Science
274,"Electric Cars:
Technology",Delft University of Technolo…,https://www.edx.org/learn/electric-cars/delft-university-of-technology-electric-cars-technology?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=11&results_level=second-level-results&term=&objectID=course-ee11fadf-c75b-48ec-ae68-e40e44adef29&campaign=Electric+Cars%3A+Technology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 27,75622,Self-paced,£96,Engineering
275,"Linux Commands &
Shell Scripting",IBM,https://www.edx.org/learn/linux/ibm-linux-commands-shell-scripting?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=12&results_level=second-level-results&term=&objectID=course-ee317c5b-3ec4-473f-a7bd-4fa987c846d3&campaign=Linux+Commands+%26+Shell+Scripting&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,3–4 hours per week,Starts Jul 27,18889,Self-paced,£23,Computer Science
276,"Statistics 1 Part 1:
Introductory
statistics, probabilit…",The London School of Econ…,https://www.edx.org/learn/statistics/the-london-school-of-economics-and-political-science-statistics-1-part-1-introductory-statistics-probability-and-estimation?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=13&results_level=second-level-results&term=&objectID=course-26a020a0-fa7b-4902-b5ea-69b1958a5658&campaign=Statistics+1+Part+1%3A+Introductory+statistics%2C+probability+and+estimation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,12–15 hours per week,Starts Jul 27,10568,Self-paced,£155,Data Analysis & Statistics
277,"Causal Diagrams:
Draw Your
Assumptions Before…",Harvard University,https://www.edx.org/learn/data-analysis/harvard-university-causal-diagrams-draw-your-assumptions-before-your-conclusions?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=14&results_level=second-level-results&term=&objectID=course-a2139fb0-ef8f-4c5c-8ff3-fcddc7f3c827&campaign=Causal+Diagrams%3A+Draw+Your+Assumptions+Before+Your+Conclusions&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,2–3 hours per week,Starts Jul 27,83622,Self-paced,£116,Data Analysis & Statistics
278,"Portfolio
Management,
Governance, & the P…",University of Washington,https://www.edx.org/learn/portfolio-management/university-of-washington-portfolio-management-governance-the-pmo?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=15&results_level=second-level-results&term=&objectID=course-95bf9ab8-159d-4930-9a4e-a452c1660664&campaign=Portfolio+Management%2C+Governance%2C+%26+the+PMO&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–5 hours per week,Starts Jul 27,13885,Self-paced,£193,Business & Management
279,"Business
Communications",University of British Columbia,https://www.edx.org/learn/business-communications/university-of-british-columbia-business-communications?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=16&results_level=second-level-results&term=&objectID=course-5776bb8e-e7c0-49de-8123-0b918c882ff0&campaign=Business+Communications&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 27,93093,Self-paced,£117,Business & Management
280,"Información
financiera y su
análisis",Tecnológico de Monterrey,https://www.edx.org/learn/finance/tecnologico-de-monterrey-informacion-financiera-y-su-analisis?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=17&results_level=second-level-results&term=&objectID=course-95737e5b-657c-4910-85ea-82f3e713e378&campaign=Informaci%C3%B3n+financiera+y+su+an%C3%A1lisis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–8 hours per week,Starts Jul 27,29177,Self-paced,£46,Economics & Finance
281,"El arte de vender:
introducción a las
ventas",Pontificia Universidad Javer…,https://www.edx.org/learn/sales/pontificia-universidad-javeriana-el-arte-de-vender-introduccion-a-las-ventas?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=18&results_level=second-level-results&term=&objectID=course-a207783b-7253-43db-9bbd-313114a3c629&campaign=El+arte+de+vender%3A+introducci%C3%B3n+a+las+ventas&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,60235,Self-paced,£35,Economics & Finance
282,"Procurement and
Logistics
Management",International Supply Chain E…,https://www.edx.org/learn/procurement/international-supply-chain-education-alliance-procurement-and-logistics-management?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=19&results_level=second-level-results&term=&objectID=course-c5c2336f-7dbb-4840-a26d-fd9991fae339&campaign=Procurement+and+Logistics+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–8 hours per week,Starts Jul 27,16815,Self-paced,£341,Business & Management
283,"Islam Through Its
Scriptures",Harvard University,https://www.edx.org/learn/islam/harvard-university-islam-through-its-scriptures?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=20&results_level=second-level-results&term=&objectID=course-96c1e478-672e-4be9-b2e5-20a3d8c3a262&campaign=Islam+Through+Its+Scriptures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–10 hours per week,Starts Jul 27,93456,Self-paced,£116,Humanities
284,"Django Application
Development with
SQL and Databases",IBM,https://www.edx.org/learn/django/ibm-django-application-development-with-sql-and-databases?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=21&results_level=second-level-results&term=&objectID=course-7e2be72d-1853-49d5-8f19-4e62e857625a&campaign=Django+Application+Development+with+SQL+and+Databases&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,6–8 hours per week,Starts Jul 27,11577,Self-paced,£38,Computer Science
285,"Buddhism Through Its
Scriptures",Harvard University,https://www.edx.org/learn/buddhism/harvard-university-buddhism-through-its-scriptures?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=22&results_level=second-level-results&term=&objectID=course-8820abc8-45a1-4ec1-ad51-d2a020ae4ef2&campaign=Buddhism+Through+Its+Scriptures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–10 hours per week,Starts Jul 27,213923,Self-paced,£116,Humanities
286,"Essential Career Skills
for Investment
Banking and Finance",New York Institute of Finance,https://www.edx.org/learn/investment-banking/new-york-institute-of-finance-essential-career-skills-for-investment-banking-and-finance?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=23&results_level=second-level-results&term=&objectID=course-9f624cf0-74f5-4293-bbb0-95a41e5543ac&campaign=Essential+Career+Skills+for+Investment+Banking+and+Finance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,3–4 hours per week,Starts Jul 27,31485,Self-paced,£38,Business & Management
287,"¡Luces, celular y
acción! Crea
contenidos audiovis…",Pontificia Universidad Javer…,https://www.edx.org/learn/marketing/pontificia-universidad-javeriana-comunicacion-audiovisual-desde-tu-smartphone?index=product&queryID=a948b3a98c904b7cf6ec92272ea03c59&position=24&results_level=second-level-results&term=&objectID=course-0a6c0bb2-2d18-42d7-8862-1dc6759e8941&campaign=%C2%A1Luces%2C+celular+y+acci%C3%B3n%21+Crea+contenidos+audiovisuales+de+impacto&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,12432,Self-paced,£35,Communication
288,"Japanese
Architecture and
Structural Design",Tokyo Institute of Technology,https://www.edx.org/learn/architecture/tokyo-institute-of-technology-japanese-architecture-and-structural-design?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=1&results_level=second-level-results&term=&objectID=course-c67e2df4-18d7-493c-a149-f4ddafb34112&campaign=Japanese+Architecture+and+Structural+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,1–3 hours per week,Starts Jul 27,20136,Self-paced,£61,Architecture
289,"Programming 101: An
Introduction to Python
for Educators",Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-programming-101-an-introduction-to-python-for-educators?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=2&results_level=second-level-results&term=&objectID=course-4002d0dc-1b29-4b48-9674-69cb524fa40b&campaign=Programming+101%3A+An+Introduction+to+Python+for+Educators&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Education & Teacher Training
290,"30-hour Grammar and
Language Awareness",TEFL Org,https://www.edx.org/learn/education/tefl-org-30-hour-grammar-and-language-awareness?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=3&results_level=second-level-results&term=&objectID=course-6ed95cc5-79d9-4afc-ad65-fdc72fbc017d&campaign=30-hour+Grammar+and+Language+Awareness&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£131,Education & Teacher Training
291,"Linear Algebra I:
Linear Equations",The Georgia Institute of Tec…,https://www.edx.org/learn/linear-algebra/the-georgia-institute-of-technology-linear-algebra-i-linear-equations?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=4&results_level=second-level-results&term=&objectID=course-00a8431b-01a8-4f69-83b8-eab4785a71f8&campaign=Linear+Algebra+I%3A+Linear+Equations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,5–6 hours per week,Starts Jul 27,28297,Self-paced,£193,Math
292,"Tangible Things:
Discovering History
Through Artworks,…",Harvard University,https://www.edx.org/learn/art-history/harvard-university-tangible-things-discovering-history-through-artworks-artifacts-scientific-specimens-and-the-stuff-around-you?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=5&results_level=second-level-results&term=&objectID=course-fcbfcbb3-0bb8-47e6-aa77-b58c6afe879f&campaign=Tangible+Things%3A+Discovering+History+Through+Artworks%2C+Artifacts%2C+Scientific+Specimens%2C+and+the+Stuff+Around+You&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–3 hours per week,Starts Jul 27,99996,Self-paced,£54,Humanities
293,"Python for Data
Science Project",IBM,https://www.edx.org/learn/python/ibm-python-for-data-science-project?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=6&results_level=second-level-results&term=&objectID=course-bf6989e9-4ddf-4338-a2fc-a134d4bf933b&campaign=Python+for+Data+Science+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,4–5 hours per week,Starts Jul 27,15542,Self-paced,£23,Data Analysis & Statistics
294,"Java Programming:
Object-Oriented
Design",Codio,https://www.edx.org/learn/java/codio-java-programming-object-oriented-design?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=7&results_level=second-level-results&term=&objectID=course-51830603-3a75-4143-8ab6-402df526997b&campaign=Java+Programming%3A+Object-Oriented+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,0,Self-paced,£147,Computer Science
295,"Nutrition and Health:
Macronutrients and
Overnutrition",Wageningen University & Re…,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-macronutrients-and-overnutrition?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=8&results_level=second-level-results&term=&objectID=course-c2f0c9cd-6577-4f38-8a31-56c8dd1cf2a4&campaign=Nutrition+and+Health%3A+Macronutrients+and+Overnutrition&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,6–8 hours per week,Starts Jul 27,235433,Self-paced,£193,Biology & Life Sciences
296,"Cybersecurity
Fundamentals",Rochester Institute of Techn…,https://www.edx.org/learn/cybersecurity/rochester-institute-of-technology-cybersecurity-fundamentals?index=product&queryID=bfb2ad8eec312cca8694e31cfd184552&position=9&results_level=second-level-results&term=&objectID=course-bb90d02a-a562-4632-a0af-e72987f27fea&campaign=Cybersecurity+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,10–12 hours per week,Started Jul 8,207556,Instructor-paced,£310,Computer Science
